message_content,message_category
"A good source of information on Burzynski's method is in *The Cancer Industry*
by pulitzer-prize nominee Ralph Moss. Also, a non-profit organization called
""People Against Cancer,"" which was formed for the purpose of allowing cancer
patients to access information regarding cancer therapies not endorsed by the
cancer industry, but which have shown highly promising results (all of which
are non-toxic). Anyone interested in cancer therapy should contact this organi-
zation ASAP:              People Against Cancer
                          PO Box 10
                          Otho IA 50569-0010
(515)972-4444
FAX (515)972-4415


peace",sci.med
"
That's might be what it takes to beat the Braves this year.  ",rec.sport.baseball
"Subject line says it all. Thanks in advance. Please email
chuck@cygnus.eid.anl.gov
Go Cubs!
",rec.sport.baseball
"
-- and --


Good grief; has no one ever heard of Biostatistics??  The University of
Washington (plus 3 or 4 others [Harvard, UNC]) has a department and
advanced degree program in Biostatistics.  My wife has an MS Biostat, and
there are plenty of MDs, PhDs, and postdocs doing Biostatistical work.
People do this for a living.  Really bright people study for decades to do
this sort of study well.

Anecedotal evidence is worthless.  Even doctors who have been using a drug
or treatment for years, and who swear it is effective, are often suprised
at the results of clinical trials.  Whether or not MSG causes describable,
reportable, documentable symptoms should be pretty simple to discover.  

The last study on which my wife worked employed 200 nurses, 100 doctors,
and a dozen Ph.Ds at one University and at 70 hospitals in five nations.  I
would think the MSG question could be settled by one lowly Biostat MS
student in a thesis.",sci.med
"Why is it that we have this notion that God takes some sort of pleasure
from punishing people?  The purpose of hell is to destroy the devil and
his angels.

To the earlier poster who tried to support the eternal hell theory with
the fact that the fallen angels were not destroyed, remember the Bible
teaches that God has reserved them until the day of judgement.  Their
judgement is soon to come.

Let me suggest this.  Maybe those who believe in the eternal hell theory
should provide all the biblical evidence they can find for it.  Stay away
from human theories, and only take into account references in the bible.",soc.religion.christian
"Yesterday I wrote a program to do bilinear interpolation ala Numerical
Recipes, with the PBMPLUS libraries.  I'm pretty happy with the results,
but I'm looking for any already-coded non-linear interpolation schemes
before I go ahead an try to write one.  Any pointers?

--",comp.graphics
"
Anything that does not bring me closer to God is a sin. 
(If you think this is too strict, just consider how ambiguous it is.)

This implies that staying the same is a sin. A Christian should
never be satisfied. It does not imply that
having fun is a sin. It does not imply that sleeping is a sin.
It does imply that I sin every day.

A perhaps simpler definition:
Anything that is counter to the two Great Commandments: 
love God, love your neighbor, is a sin.
Anything I do that is not from love is a sin.

The same action can be a sin sometimes and not a sin sometimes.

I could yell at my kids as discipline, all the time loving them,
considering only to teach them proper behavior, or I could yell at my
kids out of anger or selfishness.

I could post an excellent article because I am interested in sharing
my opinions and getting feedback and learning, or I could post an
article because I want everyone to realize how wise I am.",soc.religion.christian
"
I have personally know quite of few of the Wycliffe Bible Translators.
As an organization their fundamental purpose is to translate the scriptures
into the native languages which in terms usual means learning it and 
developing a written language (along with teaching the natives to read).
It is not associated with the U.S. govt. at all.  Many governments
want the help of the translators.  To the best of my knowledge the 
Mexican government now encourages them to come.  Their idea is not
cultural interference but the presentation of the Good News.

To understand more about what they do, I suggest you read some of the books
(autobiographical and biographical) about some of the translators.  One
that stands out in my mind as an excellent is called ""Peace Child.""
This would give a true picture of what their mission is.

I agree with this statement, but we cannot also accept what others
say without looking into the issues.  That would be the same as taking 
Suddan's discussion about the CIA, etc. as being true.  We must look
at both sides.",soc.religion.christian
"
     BO JACKSON 1963          
  1988 KCR    437  106  16   4  23   28   29   7  .253   67  .243  .288  .455
  1989 KCR    517  134  19   5  33   41   27  10  .274   92  .259  .314  .507
  1990 KCR    405  110  17   1  27   44   16   9  .286   77  .272  .343  .519
  1991 CWS     71   16   3   0   3   12    0   1  .240   10  .225  .337  .394
    MAJ      1430  366  55  10  86  125   72  27  .270  246  .256  .316  .489
    MAJ       598  153  23   4  36   52   30  11

This is what Jackson looked like in 88-91, with everything converted
to a neutral park, on the basis of run production. His equivalent
average started at .253 in 88, was up to .274 in 89 and 286 in 90. So
let us say he had established, in his last two seasons, a .280 level
of play.

That is good. Very good, in fact. But it probably doesn't make the top
ten in the league. The 10th best EQA in the AL in 1992 was Dave
Winfield's .296; Thomas was first at .350. First in the NL was Bonds,
an incroyable .378; tenth was Bip Roberts, .297. But .280 is better
than any season in the past five years by Joe Carter; it is about what
Mattingly had in 1988 (.285); what Felix Jose had the last two years;
just ahead of Time Raines' five-year average; better than Ryan
Klesko's MLEs. 

He got more attention from the media than was warranted from his
baseball playing, though; his hype was a lot better than his hitting.
That is the basis for the net.comments about him being overrated. The
media would have you beleive he was a great hitter. I think he was a
good, maybe very good hitter. He was IMO, something like the 30th best
hitter in the majors.",rec.sport.baseball
"
And to add further fuel to the flame war, I read about 20 years ago that
the ""natural"" MSG - extracted from the sources you mention above - does not
cause the reported aftereffects; it's only that nasty ""artificial"" MSG -
extracted from coal tar or whatever - that causes Chinese Restaurant
Syndrome.  I find this pretty hard to believe; has anyone else heard it?",sci.med
