bruises,cap-color,cap-radius,cap-shape,cap-surface,class,gill-attachment,gill-color,gill-size,gill-spacing,habitat,odor,population,ring-number,ring-radius,ring-type,spore-print-color,stalk-color-above-ring,stalk-color-below-ring,stalk-height,stalk-root,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,veil-color,veil-type
t,n,7.396151388,x,s,p,f,k,n,c,u,p,s,o,4.194024851,p,k,w,w,23.92086429,e,e,s,s,w,p
t,y,9.799904731,x,s,e,f,k,b,c,g,a,n,o,4.009982955,p,n,w,w,5.891308884,c,e,s,s,w,p
t,w,5.485274373,b,s,e,f,n,b,c,m,l,n,o,3.493207851,p,n,w,w,11.85798438,c,e,s,s,w,p
t,w,4.027128207,x,y,p,f,n,n,c,u,p,s,o,3.037990909,p,k,w,w,10.15368826,e,e,s,s,w,p
f,g,11.09170785,x,s,e,f,k,b,w,g,n,a,o,12.69311123,e,n,w,w,24.82047541,e,t,s,s,w,p
t,y,11.27530983,x,y,e,f,n,b,c,g,a,n,o,11.61090306,p,k,w,w,22.48386806,c,e,s,s,w,p
t,w,8.627471092,b,s,e,f,g,b,c,m,a,n,o,9.073503489,p,k,w,w,14.62851648,c,e,s,s,w,p
t,w,7.88775761,b,y,e,f,n,b,c,m,l,s,o,6.998205784,p,n,w,w,9.035077553,c,e,s,s,w,p
t,w,3.236210974,x,y,p,f,p,n,c,g,p,v,o,13.97827422,p,k,w,w,20.17344919,e,e,s,s,w,p
t,y,5.185228884,b,s,e,f,g,b,c,m,a,s,o,3.113660036,p,k,w,w,8.61843285,c,e,s,s,w,p
t,y,5.561907917,x,y,e,f,g,b,c,g,l,n,o,5.220919199,p,n,w,w,19.45150588,c,e,s,s,w,p
t,y,9.529568523,x,y,e,f,n,b,c,m,a,s,o,4.531525316,p,k,w,w,2.873822648,c,e,s,s,w,p
t,y,8.755407343,b,s,e,f,w,b,c,g,a,s,o,9.675361949,p,n,w,w,6.370665753,c,e,s,s,w,p
t,w,,x,y,p,f,k,n,c,u,p,v,o,7.885991683,p,n,w,w,24.18227699,e,e,s,s,w,p
f,n,5.394154977,x,f,e,f,n,b,w,g,n,a,o,13.42494012,e,k,w,w,3.090315989,e,t,s,f,w,p
f,g,5.790841263,s,f,e,f,k,n,c,u,n,y,o,3.892533545,p,n,w,w,10.9936378,e,e,s,s,w,p
f,w,11.85930524,f,f,e,f,k,b,w,g,n,a,o,8.38225951,e,n,w,w,13.86056622,e,t,s,s,w,p
t,n,3.365791086,x,s,p,f,n,n,c,g,p,s,o,12.04230295,p,k,w,w,24.63343271,e,e,s,s,w,p
t,w,1.522175007,x,y,p,f,n,n,c,u,p,s,o,5.300109974,p,n,w,w,6.207568374,e,e,s,s,w,p
t,n,10.78848323,x,s,p,f,k,n,c,u,p,s,o,13.1002534,p,n,w,w,2.574688324,e,e,s,s,w,p
t,y,5.512223265,b,s,e,f,k,b,c,m,a,s,o,13.90373419,p,n,w,w,9.756277422,c,e,s,s,w,p
t,n,4.099139883,x,y,p,f,n,n,c,g,p,v,o,9.700649457,p,n,w,w,24.6459049,e,e,s,s,w,p
t,y,10.38008242,b,y,e,f,k,b,c,m,l,s,o,5.587437729,p,n,w,w,20.04815512,c,e,s,s,w,p
t,w,2.81323146,b,y,e,f,w,b,c,m,a,n,o,6.126806804,p,n,w,w,22.52479466,c,e,s,s,w,p
t,w,9.826517528,b,s,e,f,g,b,c,m,l,s,o,3.94136384,p,k,w,w,16.0340866,c,e,s,s,w,p
t,w,8.781450834,f,s,p,f,n,n,c,g,p,v,o,4.128136735,p,n,w,w,19.79010291,e,e,s,s,w,p
t,y,4.722118825,x,y,e,f,n,b,c,m,a,n,o,4.102185154,p,n,w,w,8.238006152,c,e,s,s,w,p
t,w,4.611636787,x,y,e,f,w,b,c,m,l,n,o,13.17590769,p,n,w,w,18.0019629,c,e,s,s,w,p
f,n,7.019924503,f,f,e,f,k,n,c,u,n,y,o,6.511737517,p,k,w,w,7.534982768,e,e,s,s,w,p
t,y,5.24688971,x,s,e,f,n,n,w,d,a,v,o,8.656650043,p,n,w,w,7.937931456,b,t,s,s,w,p
t,y,8.609582529,b,s,e,f,g,b,c,m,l,n,o,11.38199374,p,n,w,w,4.525446957,c,e,s,s,w,p
t,w,11.75011039,x,y,p,f,k,n,c,u,p,s,o,8.181477897,p,n,w,w,15.71089502,e,e,s,s,w,p
t,y,12.06677128,x,y,e,f,n,b,c,m,l,n,o,13.32116099,p,n,w,w,4.407363623,c,e,s,s,w,p
t,n,6.478549638,x,y,e,f,p,b,c,p,l,y,o,6.099268175,p,n,w,w,20.26776623,r,e,s,y,w,p
t,y,9.422942799,b,y,e,f,n,b,c,m,l,s,o,2.181571867,p,n,w,w,9.948048156,c,e,s,s,w,p
t,y,8.308751798,x,f,e,f,w,n,w,d,l,v,o,4.814187118,p,n,w,w,21.48685897,b,t,s,s,w,p
f,g,11.21719477,s,f,e,f,k,n,c,u,n,v,o,7.772841267,p,k,w,w,23.18727171,e,e,s,s,w,p
t,n,1.395900134,x,y,p,f,w,n,c,u,p,s,o,5.146384257,p,n,w,w,22.67454064,e,e,s,s,w,p
t,y,3.35851094,x,f,e,f,p,n,w,d,a,v,o,13.22012271,p,n,w,w,2.712108259,b,t,s,s,w,p
t,y,4.50403971,b,s,e,f,k,b,c,m,l,s,o,13.38169004,p,k,w,w,25.16846043,c,e,s,s,w,p
t,y,5.49861533,b,y,e,f,n,b,c,g,a,s,o,3.625820497,p,n,w,w,15.40281693,c,e,s,s,w,p
t,y,3.116215321,x,y,e,f,n,b,c,p,l,y,o,4.645416754,p,k,w,w,16.41477125,r,e,s,y,w,p
f,n,2.297492522,x,f,e,f,g,n,c,u,n,y,o,14.37317605,p,k,w,w,23.80862104,e,e,s,s,w,p
t,w,5.361535479,x,y,p,f,p,n,c,g,p,v,o,3.290789462,p,n,w,w,16.24365016,e,e,s,s,w,p
t,y,10.3841847,x,s,e,f,w,b,c,m,a,n,o,7.342100421,p,k,w,w,12.6332586,c,e,s,s,w,p
t,w,6.373770339,x,y,e,f,n,b,c,g,a,n,o,4.277616584,p,n,w,w,19.70060861,c,e,s,s,w,p
t,y,5.479654915,x,y,e,f,k,b,c,m,l,s,o,3.846446013,p,k,w,w,24.85095276,c,e,s,s,w,p
t,w,6.434249135,x,s,e,f,w,b,c,m,l,n,o,6.006035853,p,n,w,w,6.103342846,c,e,s,s,w,p
t,y,6.475004806,x,y,e,f,n,b,c,p,l,s,o,13.61926914,p,n,w,w,11.57764239,r,e,s,y,w,p
t,y,9.947178285,f,y,e,f,w,b,c,p,l,s,o,4.494613007,p,k,w,w,17.76097242,r,e,s,y,w,p
t,n,7.759023757,x,y,e,f,w,b,c,g,a,s,o,11.35714562,p,k,w,w,24.12088315,r,e,s,y,w,p
t,w,10.02471255,x,s,e,f,k,b,c,g,l,s,o,13.63680543,p,k,w,w,10.80795744,c,e,s,s,w,p
t,w,1.240011144,b,s,e,f,k,b,c,m,l,n,o,11.60065942,p,n,w,w,24.0575754,c,e,s,s,w,p
t,n,12.69697039,x,y,p,f,k,n,c,u,p,v,o,6.754828256,p,n,w,w,19.41348677,e,e,s,s,w,p
t,w,9.821776191,x,s,p,f,k,n,c,u,p,v,o,2.31647619,p,k,w,w,20.9889893,e,e,s,s,w,p
t,y,8.285772437,b,y,e,f,w,b,c,m,a,s,o,4.864693817,p,k,w,w,5.465531869,c,e,s,s,w,p
f,g,10.23210391,f,f,e,f,n,b,w,g,n,a,o,4.158687471,e,n,w,w,9.176767357,e,t,s,s,w,p
t,w,8.847985471,b,s,e,f,w,b,c,g,a,n,o,12.63734435,p,n,w,w,6.569531076,c,e,s,s,w,p
t,y,5.362498431,x,s,e,f,k,b,c,g,l,n,o,2.58077298,p,k,w,w,5.11802107,c,e,s,s,w,p
t,n,6.148683559,x,y,e,f,p,b,c,p,a,y,o,10.4235356,p,k,w,w,9.460987996,r,e,s,y,w,p
f,g,11.32703275,s,f,e,f,k,n,c,u,n,v,o,9.018376663,p,n,w,w,17.54976011,e,e,s,s,w,p
t,y,5.224928011,b,y,e,f,k,b,c,m,a,s,o,4.817921623,p,n,w,w,4.13744303,c,e,s,s,w,p
t,y,4.09246311,b,s,e,f,g,b,c,m,l,s,o,8.956096516,p,n,w,w,23.80014311,c,e,s,s,w,p
t,y,2.319148146,b,y,e,f,g,b,c,m,l,n,o,2.280296877,p,n,w,w,23.29487452,c,e,s,s,w,p
t,w,12.78359411,b,y,e,f,n,b,c,g,l,s,o,11.42928496,p,n,w,w,8.499532013,c,e,s,s,w,p
f,n,4.264884942,f,s,e,f,k,b,w,g,n,a,o,7.840367204,e,k,w,w,9.10261191,e,t,s,s,w,p
t,w,7.858656976,x,s,e,f,n,b,c,g,l,s,o,1.767077153,p,k,w,w,24.43125329,c,e,s,s,w,p
t,y,11.39601792,f,y,e,f,w,b,c,g,a,s,o,9.755457609,p,n,w,w,3.304103719,r,e,s,y,w,p
t,y,6.719327862,x,y,e,f,w,b,c,g,a,n,o,6.367712751,p,k,w,w,16.7663781,c,e,s,s,w,p
f,g,11.85666319,x,f,e,f,p,n,c,u,n,v,o,3.190697422,p,n,w,w,6.855928652,e,e,s,s,w,p
t,y,12.46555728,f,f,e,f,p,n,w,d,l,v,o,11.70799331,p,n,w,w,23.47999801,b,t,s,s,w,p
t,w,6.398833715,b,y,e,f,g,b,c,m,l,s,o,7.419813105,p,n,w,w,9.563822319,c,e,s,s,w,p
t,y,10.44096897,f,f,e,f,w,n,w,d,l,v,o,3.61218682,p,n,w,w,2.933529415,b,t,s,s,w,p
t,n,4.834386321,x,y,e,f,p,b,c,p,a,s,o,4.263984369,p,k,w,w,10.59297872,r,e,s,y,w,p
t,y,8.245352795,b,s,e,f,k,b,c,g,a,s,o,4.991942033,p,k,w,w,20.52872433,c,e,s,s,w,p
t,y,9.083482288,f,s,e,f,p,n,w,d,l,v,o,8.434603673,p,n,w,w,8.742140214,b,t,s,s,w,p
t,w,3.887771783,x,s,e,f,n,n,w,d,l,v,o,12.29017885,p,u,w,w,14.91719273,b,t,s,s,w,p
t,n,1.242288028,f,y,e,f,p,b,c,p,l,y,o,5.111970909,p,n,w,w,14.72132891,r,e,s,y,w,p
t,n,12.14615035,x,y,p,f,w,n,c,u,p,v,o,8.86293095,p,n,w,w,19.83697827,e,e,s,s,w,p
t,n,11.08882525,f,y,e,f,n,b,c,g,a,y,o,9.824107513,p,n,w,w,3.630321331,r,e,s,y,w,p
f,n,12.67046002,x,s,e,f,k,b,w,g,n,s,o,11.82238979,e,n,w,w,22.09840319,e,t,f,s,w,p
t,w,8.011608763,x,y,p,f,w,n,c,g,p,s,o,3.041105915,p,k,w,w,6.084896492,e,e,s,s,w,p
f,g,8.726966188,f,f,e,f,n,n,c,u,n,y,o,2.036628619,p,n,w,w,3.277882704,e,e,s,s,w,p
f,g,2.979423875,x,f,e,f,n,b,w,g,n,s,o,13.63398868,e,n,w,w,15.32391537,e,t,s,s,w,p
t,y,12.49960388,x,y,e,f,w,b,c,g,l,s,o,14.10779068,p,k,w,w,21.00081858,r,e,s,y,w,p
f,n,6.11339013,x,s,e,f,k,b,w,g,n,s,o,12.49447709,e,k,w,w,23.90862088,e,t,s,s,w,p
t,w,3.869693086,b,s,e,f,w,b,c,g,a,s,o,13.81775858,p,k,w,w,23.46006373,c,e,s,s,w,p
t,w,9.391066416,x,s,e,f,n,b,c,g,l,s,o,11.44859693,p,n,w,w,21.76756005,c,e,s,s,w,p
t,n,4.799403406,f,y,e,f,w,b,c,g,l,y,o,13.15825633,p,k,w,w,21.96389635,r,e,s,y,w,p
f,n,4.054052397,s,f,e,f,n,n,c,u,n,v,o,8.090710326,p,n,w,w,22.69480761,e,e,s,s,w,p
f,n,7.675376181,x,f,e,f,n,n,c,u,n,y,o,7.654143303,p,n,w,w,6.218668941,e,e,s,s,w,p
t,w,4.74838774,b,s,e,f,k,b,c,g,l,s,o,12.63298167,p,k,w,w,6.17014788,c,e,s,s,w,p
t,y,12.34743686,x,y,e,f,g,b,c,g,a,s,o,9.494661811,p,k,w,w,20.45363218,c,e,s,s,w,p
t,y,1.767913154,x,y,e,f,g,b,c,m,l,n,o,6.937136679,p,k,w,w,25.0843198,c,e,s,s,w,p
f,n,5.622321459,x,s,e,f,n,b,w,g,n,a,o,4.655810005,e,n,w,w,9.750351179,e,t,s,s,w,p
t,w,13.18950608,x,s,e,f,g,b,c,g,a,s,o,8.539191889,p,n,w,w,2.910146145,c,e,s,s,w,p
t,n,1.239576101,f,y,e,f,p,b,c,g,l,s,o,10.30412129,p,n,w,w,16.09283491,r,e,s,y,w,p
t,y,9.339265823,x,s,e,f,n,b,c,g,a,n,o,13.63644841,p,k,w,w,5.76238012,c,e,s,s,w,p
t,w,8.067322791,b,s,e,f,g,b,c,g,a,s,o,10.9196228,p,n,w,w,8.260889653,c,e,s,s,w,p
t,w,12.89970517,x,y,e,f,g,b,c,g,a,s,o,12.29838507,p,k,w,w,24.5787676,c,e,s,s,w,p
f,n,8.072217577,x,f,e,f,p,b,w,g,n,s,o,7.708723981,e,k,w,w,3.53934153,e,t,f,s,w,p
t,y,5.524084109,b,s,e,f,n,b,c,g,l,n,o,9.537120751,p,k,w,w,24.42086942,c,e,s,s,w,p
t,y,8.206096088,f,y,e,f,w,b,c,g,l,s,o,7.205862505,p,n,w,w,15.34314677,r,e,s,y,w,p
t,y,6.425824764,x,y,e,f,n,b,c,p,a,y,o,3.907417227,p,k,w,w,7.739554637,r,e,s,y,w,p
t,w,2.066850141,b,y,e,f,g,b,c,g,l,n,o,5.340188886,p,n,w,w,3.538817361,c,e,s,s,w,p
t,y,,x,y,e,f,n,b,c,m,a,n,o,9.358871565,p,k,w,w,6.804927348,c,e,s,s,w,p
t,y,5.172834748,x,y,e,f,w,b,c,g,a,y,o,10.5979267,p,n,w,w,19.20872111,r,e,s,y,w,p
t,w,1.389302988,b,y,e,f,n,b,c,m,l,s,o,4.072893977,p,k,w,w,15.01107601,c,e,s,s,w,p
t,w,11.9071736,b,y,e,f,g,b,c,m,a,s,o,2.876359433,p,n,w,w,13.47793251,c,e,s,s,w,p
t,y,5.980814036,x,s,e,f,k,b,c,m,a,n,o,8.766275138,p,k,w,w,12.07502888,c,e,s,s,w,p
t,y,6.138903113,x,s,e,f,w,b,c,g,l,n,o,7.508220046,p,k,w,w,11.39673093,c,e,s,s,w,p
f,g,7.052121486,s,f,e,f,g,n,c,u,n,y,o,3.58887816,p,k,w,w,18.09618625,e,e,s,s,w,p
